nome,nome,votos
EMERSON DA SILVA SANTOS,EMERSON DA SILVA SANTOS,36
GERALDO SILVA DOS SANTOS,GERALDO SILVA DOS SANTOS,383
CARLOS CESAR CORREIA DE MESSIAS,CARLOS CESAR CORREIA DE MESSIAS,26448
IDESIO LUIS FRANKE,IDESIO LUIS FRANKE,9895
LEONARDO CUNHA DE BRITO,LEONARDO CUNHA DE BRITO,20875
MARCELO FEITOSA DE ARAÚJO,MARCELO FEITOSA DE ARAÚJO,1025
RAIMUNDO ANGELIM VASCONCELOS,RAIMUNDO ANGELIM VASCONCELOS,39843
RAMAO VIEIRA DE OLIVEIRA,RAMAO VIEIRA DE OLIVEIRA,1994
REGINA AMELIA D ALENCAR LINO,REGINA AMELIA D ALENCAR LINO,3842
ROSELI COSTA,ROSELI COSTA,1913
SEBASTIÃO SIBÁ MACHADO OLIVEIRA,SEBASTIÃO SIBÁ MACHADO OLIVEIRA,18395
MOISES DINIZ LIMA,MOISES DINIZ LIMA,13738
ALAN RICK MIRANDA,ALAN RICK MIRANDA,17902
JUAREZ PEDROSA CAVALCANTE,JUAREZ PEDROSA CAVALCANTE,515
RAIMUNDO VAZ DE AZEVEDO,RAIMUNDO VAZ DE AZEVEDO,11229
JOSÉ LUIS SCHAFER,JOSÉ LUIS SCHAFER,11397
FRANCE SPYM PINTRO SOSTER,FRANCE SPYM PINTRO SOSTER,5870
JOSE AFONSO VASCONCELOS FERNADES,JOSE AFONSO VASCONCELOS FERNADES,3343
FRANCISCO ANTONIO LIRA DA SILVA MONTEIRO,FRANCISCO ANTONIO LIRA DA SILVA MONTEIRO,665
HILÁRIO JOSÉ DO NASCIMENTO,HILÁRIO JOSÉ DO NASCIMENTO,837
MARIA JOICILENE SOUZA SILVA NOBRE,MARIA JOICILENE SOUZA SILVA NOBRE,1199
SHIRLEY TORRES DE ARAÚJO,SHIRLEY TORRES DE ARAÚJO,1377
VALDETE DE SOUZA,VALDETE DE SOUZA,668
FRANCISCO CARLOS OLIVEIRA DE LIMA,FRANCISCO CARLOS OLIVEIRA DE LIMA,10306
JOAQUIM LIRA DE CARVALHO,JOAQUIM LIRA DE CARVALHO,962
JOSÉ AUGUSTO LEANDRO RODRIGUES,JOSÉ AUGUSTO LEANDRO RODRIGUES,2011
MARIA TERESA GAUNA,MARIA TERESA GAUNA,145
NORMANDO RODRIGUES SALES,NORMANDO RODRIGUES SALES,6450
